Position,D1_1,D12_1,N2_D6_1
1,1.09E+00,1.06E+00,0.00E+00
2,1.09E+00,1.06E+00,0.00E+00
3,1.09E+00,1.07E+00,1.22E-03
4,1.09E+00,1.06E+00,2.44E-03
5,1.10E+00,1.06E+00,1.22E-03
6,1.09E+00,1.06E+00,1.22E-03
7,1.09E+00,1.06E+00,2.44E-03
8,1.09E+00,1.06E+00,2.44E-03
9,1.10E+00,1.06E+00,3.66E-03
10,1.10E+00,1.06E+00,4.88E-03
11,1.10E+00,1.06E+00,4.88E-03
12,1.10E+00,1.06E+00,4.88E-03
13,1.10E+00,1.06E+00,6.10E-03
14,1.10E+00,1.06E+00,7.32E-03
15,1.10E+00,1.06E+00,8.54E-03
16,1.10E+00,1.06E+00,9.77E-03
17,1.10E+00,1.06E+00,9.77E-03
18,1.10E+00,1.06E+00,1.22E-02
19,1.10E+00,1.06E+00,1.34E-02
20,1.10E+00,1.06E+00,1.59E-02
21,1.11E+00,1.06E+00,1.71E-02
22,1.10E+00,1.06E+00,1.83E-02
23,1.11E+00,1.06E+00,1.95E-02
24,1.11E+00,1.06E+00,2.08E-02
25,1.11E+00,1.06E+00,2.20E-02
26,1.11E+00,1.06E+00,2.32E-02
27,1.11E+00,1.06E+00,2.44E-02
28,1.12E+00,1.06E+00,2.69E-02
29,1.12E+00,1.06E+00,2.93E-02
30,1.12E+00,1.06E+00,3.05E-02
31,1.12E+00,1.06E+00,3.30E-02
32,1.12E+00,1.06E+00,3.42E-02
33,1.13E+00,1.06E+00,3.66E-02
34,1.13E+00,1.06E+00,3.91E-02
35,1.13E+00,1.06E+00,4.15E-02
36,1.14E+00,1.06E+00,4.39E-02
37,1.14E+00,1.06E+00,4.64E-02
38,1.15E+00,1.06E+00,5.00E-02
39,1.15E+00,1.06E+00,5.37E-02
40,1.16E+00,1.06E+00,5.62E-02
41,1.16E+00,1.06E+00,6.10E-02
42,1.17E+00,1.06E+00,6.59E-02
43,1.18E+00,1.05E+00,6.96E-02
44,1.19E+00,1.06E+00,7.57E-02
45,1.19E+00,1.05E+00,8.18E-02
46,1.20E+00,1.05E+00,8.91E-02
47,1.21E+00,1.05E+00,9.89E-02
48,1.22E+00,1.05E+00,1.06E-01
49,1.23E+00,1.05E+00,1.17E-01
50,1.25E+00,1.05E+00,1.27E-01
51,1.26E+00,1.05E+00,1.39E-01
52,1.28E+00,1.05E+00,1.53E-01
53,1.29E+00,1.05E+00,1.66E-01
54,1.31E+00,1.05E+00,1.83E-01
55,1.32E+00,1.05E+00,1.99E-01
56,1.34E+00,1.05E+00,2.17E-01
57,1.36E+00,1.05E+00,2.36E-01
58,1.38E+00,1.05E+00,2.56E-01
59,1.40E+00,1.05E+00,2.77E-01
60,1.42E+00,1.05E+00,3.00E-01
61,1.44E+00,1.05E+00,3.23E-01
62,1.46E+00,1.05E+00,3.49E-01
63,1.48E+00,1.05E+00,3.75E-01
64,1.51E+00,1.05E+00,4.02E-01
65,1.53E+00,1.05E+00,4.30E-01
66,1.55E+00,1.05E+00,4.59E-01
67,1.58E+00,1.05E+00,4.87E-01
68,1.60E+00,1.05E+00,5.16E-01
69,1.63E+00,1.05E+00,5.48E-01
70,1.65E+00,1.06E+00,5.77E-01
71,1.68E+00,1.06E+00,6.10E-01
72,1.70E+00,1.05E+00,6.41E-01
73,1.73E+00,1.06E+00,6.75E-01
74,1.76E+00,1.06E+00,7.06E-01
75,1.78E+00,1.06E+00,7.39E-01
76,1.81E+00,1.06E+00,7.71E-01
77,1.84E+00,1.06E+00,8.03E-01
78,1.86E+00,1.06E+00,8.37E-01
79,1.89E+00,1.06E+00,8.69E-01
80,1.92E+00,1.06E+00,9.02E-01
81,1.94E+00,1.06E+00,9.35E-01
82,1.97E+00,1.06E+00,9.66E-01
83,1.99E+00,1.06E+00,9.97E-01
84,2.02E+00,1.07E+00,1.03E+00
85,2.04E+00,1.07E+00,1.06E+00
86,2.07E+00,1.07E+00,1.09E+00
87,2.10E+00,1.07E+00,1.12E+00
88,2.12E+00,1.07E+00,1.15E+00
89,2.15E+00,1.07E+00,1.18E+00
90,2.17E+00,1.07E+00,1.21E+00
91,2.19E+00,1.08E+00,1.24E+00
92,2.22E+00,1.08E+00,1.27E+00
93,2.24E+00,1.08E+00,1.29E+00
94,2.26E+00,1.08E+00,1.32E+00
95,2.29E+00,1.08E+00,1.35E+00
96,2.31E+00,1.08E+00,1.37E+00
97,2.33E+00,1.09E+00,1.40E+00
98,2.35E+00,1.09E+00,1.42E+00
99,2.37E+00,1.09E+00,1.44E+00
100,2.39E+00,1.09E+00,1.47E+00
101,2.41E+00,1.10E+00,1.49E+00
102,2.43E+00,1.10E+00,1.51E+00
103,2.45E+00,1.10E+00,1.53E+00
104,2.47E+00,1.10E+00,1.55E+00
105,2.49E+00,1.11E+00,1.57E+00
106,2.50E+00,1.11E+00,1.59E+00
107,2.52E+00,1.11E+00,1.61E+00
108,2.54E+00,1.11E+00,1.63E+00
109,2.55E+00,1.12E+00,1.65E+00
110,2.57E+00,1.12E+00,1.67E+00
111,2.59E+00,1.13E+00,1.68E+00
112,2.60E+00,1.13E+00,1.70E+00
113,2.62E+00,1.14E+00,1.72E+00
114,2.63E+00,1.14E+00,1.73E+00
115,2.65E+00,1.15E+00,1.75E+00
116,2.66E+00,1.15E+00,1.76E+00
117,2.68E+00,1.16E+00,1.77E+00
118,2.69E+00,1.17E+00,1.79E+00
119,2.70E+00,1.18E+00,1.80E+00
120,2.71E+00,1.18E+00,1.81E+00
121,2.73E+00,1.20E+00,1.83E+00
122,2.74E+00,1.20E+00,1.84E+00
123,2.75E+00,1.22E+00,1.85E+00
124,2.76E+00,1.23E+00,1.86E+00
125,2.77E+00,1.25E+00,1.87E+00
126,2.78E+00,1.26E+00,1.88E+00
127,2.80E+00,1.27E+00,1.89E+00
128,2.81E+00,1.29E+00,1.90E+00
129,2.82E+00,1.31E+00,1.91E+00
130,2.83E+00,1.32E+00,1.92E+00
131,2.84E+00,1.35E+00,1.93E+00
132,2.85E+00,1.36E+00,1.94E+00
133,2.85E+00,1.38E+00,1.95E+00
134,2.86E+00,1.41E+00,1.95E+00
135,2.87E+00,1.43E+00,1.96E+00
136,2.88E+00,1.45E+00,1.97E+00
137,2.89E+00,1.47E+00,1.97E+00
138,2.90E+00,1.50E+00,1.98E+00
139,2.90E+00,1.52E+00,1.99E+00
140,2.91E+00,1.55E+00,2.00E+00
141,2.92E+00,1.57E+00,2.00E+00
142,2.92E+00,1.60E+00,2.01E+00
143,2.93E+00,1.63E+00,2.01E+00
144,2.94E+00,1.65E+00,2.02E+00
145,2.94E+00,1.68E+00,2.03E+00
146,2.95E+00,1.71E+00,2.03E+00
147,2.96E+00,1.74E+00,2.03E+00
148,2.96E+00,1.76E+00,2.04E+00
149,2.97E+00,1.79E+00,2.04E+00
150,2.97E+00,1.82E+00,2.05E+00
151,2.98E+00,1.85E+00,2.05E+00
152,2.99E+00,1.88E+00,2.06E+00
153,2.99E+00,1.90E+00,2.06E+00
154,3.00E+00,1.93E+00,2.06E+00
155,3.00E+00,1.96E+00,2.07E+00
156,3.01E+00,1.99E+00,2.07E+00
157,3.01E+00,2.01E+00,2.08E+00
158,3.01E+00,2.04E+00,2.08E+00
159,3.02E+00,2.07E+00,2.08E+00
160,3.02E+00,2.09E+00,2.09E+00
161,3.03E+00,2.12E+00,2.09E+00
162,3.03E+00,2.15E+00,2.09E+00
163,3.03E+00,2.17E+00,2.09E+00
164,3.04E+00,2.20E+00,2.10E+00
165,3.04E+00,2.22E+00,2.10E+00
166,3.05E+00,2.25E+00,2.10E+00
167,3.05E+00,2.27E+00,2.11E+00
168,3.06E+00,2.29E+00,2.11E+00
169,3.06E+00,2.32E+00,2.11E+00
170,3.06E+00,2.34E+00,2.11E+00
171,3.07E+00,2.37E+00,2.12E+00
172,3.07E+00,2.39E+00,2.12E+00
173,3.07E+00,2.41E+00,2.12E+00
174,3.08E+00,2.43E+00,2.12E+00
175,3.08E+00,2.45E+00,2.12E+00
176,3.08E+00,2.47E+00,2.13E+00
177,3.09E+00,2.50E+00,2.13E+00
178,3.09E+00,2.51E+00,2.13E+00
179,3.09E+00,2.53E+00,2.13E+00
180,3.10E+00,2.55E+00,2.13E+00
181,3.10E+00,2.57E+00,2.13E+00
