Position,WT_D0_2,WT_D2_2,WT_D4_2,WT_D2_1,WT_D4_1,WT_D0_2long,WT_D2_2long,WT_D4_2long,WT_D0_1
1,1.40E-01,1.14E-01,1.12E-01,1.46E-01,-3.66E-02,1.39E-01,1.11E-01,1.03E-01,-2.20E-02
2,1.39E-01,1.15E-01,1.14E-01,1.46E-01,-3.66E-02,1.39E-01,1.11E-01,1.03E-01,-2.32E-02
3,1.40E-01,1.16E-01,1.16E-01,1.46E-01,-3.54E-02,1.39E-01,1.12E-01,1.04E-01,-2.20E-02
4,1.42E-01,1.16E-01,1.16E-01,1.46E-01,-3.54E-02,1.39E-01,1.12E-01,1.03E-01,-2.20E-02
5,1.42E-01,1.16E-01,1.18E-01,1.46E-01,-3.54E-02,1.39E-01,1.12E-01,1.03E-01,-2.20E-02
6,1.42E-01,1.17E-01,1.20E-01,1.46E-01,-3.54E-02,1.39E-01,1.12E-01,1.04E-01,-2.20E-02
7,1.43E-01,1.18E-01,1.22E-01,1.48E-01,-3.54E-02,1.40E-01,1.12E-01,1.04E-01,-2.08E-02
8,1.44E-01,1.20E-01,1.22E-01,1.46E-01,-3.42E-02,1.39E-01,1.14E-01,1.05E-01,-2.08E-02
9,1.45E-01,1.21E-01,1.25E-01,1.48E-01,-3.30E-02,1.40E-01,1.15E-01,1.05E-01,-2.08E-02
10,1.45E-01,1.21E-01,1.26E-01,1.48E-01,-3.30E-02,1.42E-01,1.16E-01,1.05E-01,-2.08E-02
11,1.48E-01,1.22E-01,1.28E-01,1.49E-01,-3.17E-02,1.42E-01,1.16E-01,1.05E-01,-2.08E-02
12,1.49E-01,1.25E-01,1.33E-01,1.50E-01,-3.05E-02,1.42E-01,1.16E-01,1.06E-01,-1.95E-02
13,1.51E-01,1.25E-01,1.33E-01,1.50E-01,-3.05E-02,1.43E-01,1.17E-01,1.07E-01,-1.83E-02
14,1.54E-01,1.27E-01,1.38E-01,1.51E-01,-3.05E-02,1.44E-01,1.18E-01,1.07E-01,-1.83E-02
15,1.56E-01,1.29E-01,1.40E-01,1.53E-01,-2.93E-02,1.45E-01,1.20E-01,1.09E-01,-1.71E-02
16,1.59E-01,1.29E-01,1.45E-01,1.53E-01,-2.81E-02,1.45E-01,1.21E-01,1.10E-01,-1.59E-02
17,1.61E-01,1.32E-01,1.49E-01,1.54E-01,-2.56E-02,1.48E-01,1.21E-01,1.11E-01,-1.46E-02
18,1.66E-01,1.33E-01,1.54E-01,1.56E-01,-2.56E-02,1.49E-01,1.22E-01,1.12E-01,-1.46E-02
19,1.71E-01,1.36E-01,1.60E-01,1.59E-01,-2.44E-02,1.51E-01,1.25E-01,1.12E-01,-1.22E-02
20,1.76E-01,1.38E-01,1.67E-01,1.60E-01,-2.32E-02,1.54E-01,1.25E-01,1.14E-01,-1.22E-02
21,1.82E-01,1.39E-01,1.76E-01,1.62E-01,-2.32E-02,1.56E-01,1.27E-01,1.16E-01,-1.10E-02
22,1.89E-01,1.42E-01,1.86E-01,1.65E-01,-2.08E-02,1.59E-01,1.29E-01,1.16E-01,-1.10E-02
23,1.98E-01,1.45E-01,1.94E-01,1.70E-01,-2.08E-02,1.61E-01,1.29E-01,1.18E-01,-9.77E-03
24,2.05E-01,1.48E-01,2.06E-01,1.72E-01,-1.83E-02,1.66E-01,1.32E-01,1.20E-01,-7.32E-03
25,2.15E-01,1.51E-01,2.19E-01,1.76E-01,-1.71E-02,1.71E-01,1.33E-01,1.22E-01,-7.32E-03
26,2.26E-01,1.54E-01,2.32E-01,1.82E-01,-1.59E-02,1.76E-01,1.36E-01,1.22E-01,-3.66E-03
27,2.38E-01,1.57E-01,2.48E-01,1.86E-01,-1.46E-02,1.82E-01,1.38E-01,1.25E-01,-2.44E-03
28,2.53E-01,1.61E-01,2.65E-01,1.93E-01,-1.34E-02,1.89E-01,1.39E-01,1.26E-01,0.00E+00
29,2.69E-01,1.66E-01,2.82E-01,1.99E-01,-1.22E-02,1.98E-01,1.42E-01,1.28E-01,1.22E-03
30,2.87E-01,1.70E-01,3.03E-01,2.06E-01,-9.77E-03,2.05E-01,1.45E-01,1.33E-01,2.44E-03
