C42C1.11a.1,WBGene00016589
C42C1.5.1,WBGene00016583
C44C10.9b,WBGene00008089
T03F1.8a,WBGene00020190
C01H6.7a.1,WBGene00007256
Y57A10A.18c,WBGene00004167
D1081.7,WBGene00008385
K11H3.1b,WBGene00010778
M03F8.3b,WBGene00019762
C13G3.3c,WBGene00007554
F25D7.4,WBGene00009113
F20D6.4d,WBGene00005648
C14F11.5b,WBGene00002024
R06C7.7b,WBGene00003041
Y48G9A.3,WBGene00021697
C14F11.4a,WBGene00015780
Y51H1A.6a,WBGene00013096
K08C7.3f,WBGene00001328
C36B1.8b,WBGene00007975
Y47D3A.29b,WBGene00012936
Y66H1B.2l.1,WBGene00022048
C23F12.1a,WBGene00016006
F53A2.6a.1,WBGene00002059
C02D5.4,WBGene00043097
ZK593.5b,WBGene00001017
Y38E10A.22a,WBGene00012600
T14G10.5c,WBGene00011775
T05G5.10a,WBGene00002064
F58G11.2a,WBGene00010280
H19N07.2k,WBGene00010406
C25A11.4f.1,WBGene00000100
F38A1.8,WBGene00009521
M01E11.4c,WBGene00019713
Y71G10AL.1b,WBGene00022134
T28H10.3,WBGene00012144
T20G5.11,WBGene00004326
R31.1a,WBGene00004855
C01G8.5b,WBGene00001333
W07A8.2c,WBGene00012319
C18G1.4a,WBGene00003994
C06G3.2,WBGene00002228
F20G4.3,WBGene00003777
F26F12.7,WBGene00002637
C41G7.1b,WBGene00004887
F56D12.1a.1,WBGene00000112
C09G9.6,WBGene00003864
T22A3.8,WBGene00002248
F23B12.8b.1,WBGene00000257
Y71H2AM.23.1,WBGene00007000
ZK1151.1l,WBGene00006876
ZC513.12,WBGene00006060
T25C12.3,WBGene00012018
R07H5.2a,WBGene00011122
C25F6.2a,WBGene00001006
H06O01.1.1,WBGene00003964
Y57G11C.24i,WBGene00001330
F18C12.2a,WBGene00004378
Y102A5A.1,WBGene00013606
Y105E8A.19,WBGene00013677
ZC376.3,WBGene00013875
K07C11.2.1,WBGene00000098
C01F6.6b,WBGene00006438
Y57A10C.6,WBGene00013284
C36B1.1d,WBGene00000527
Y76A2B.1c,WBGene00004075
Y39A1C.3.1,WBGene00000475
Y80D3A.1,WBGene00006945
T12E12.4b.1,WBGene00001093
T07A9.6,WBGene00000913
T12D8.8.1,WBGene00011735
F53A2.4,WBGene00003829
F21D5.7,WBGene00009012
ZK270.2d,WBGene00001488
C02B10.1.1,WBGene00015326
F35H10.4.1,WBGene00006914
F22B5.7,WBGene00006994
Y54E10A.3,WBGene00021826
C26C6.1a,WBGene00007042
W07E11.1b,WBGene00012326
Y113G7B.23c,WBGene00004203
F43G9.9.1,WBGene00000777
D1037.4.1,WBGene00004272
T27E9.7.1,WBGene00012097
ZK1248.16.1,WBGene00002268
CD4.2,WBGene00000795
K11C4.3c,WBGene00006803
F52H3.7a.1,WBGene00002265
Y24F12A.2a,WBGene00012497
Y71G12B.11a,WBGene00006771
T28D6.6a,WBGene00012126
Y54F10BM.2,WBGene00021857
M01D7.7a,WBGene00001196
B0025.2.1,WBGene00000814
F21F8.7,WBGene00000219
F28H1.3.1,WBGene00000197
F28H1.2,WBGene00000779
K08B12.5a.1,WBGene00006437
T19H12.2,WBGene00020588
C32F10.8a.1,WBGene00016333
F28B3.7a,WBGene00001860
C44E4.4.1,WBGene00016653
C53H9.2a,WBGene00016907
D1007.6,WBGene00004479
C41D11.2,WBGene00001231
C18E3.6a.1,WBGene00015975
C18E3.2.1,WBGene00015971
W08F4.8b,WBGene00021097
W03D2.4,WBGene00003955
T09B4.9,WBGene00020383
F45H10.1a.1,WBGene00000113
R11A5.4a.1,WBGene00011232
T23B5.1a,WBGene00011939
W10G6.3,WBGene00003485
W02D3.9.1,WBGene00006773
F20H11.3,WBGene00003162
C02A12.4,WBGene00003096
R09E12.3,WBGene00019983
F32D1.5a.1,WBGene00017984
F32D1.10,WBGene00003159
F29G9.5,WBGene00004502
T05H4.6a,WBGene00020269
F36H9.3,WBGene00000976
T07D3.7a,WBGene00000106
T21D12.4,WBGene00003932
F10D2.10,WBGene00017335
W03F9.1a,WBGene00020999
ZC308.1a,WBGene00001596
C15H11.7,WBGene00003922
C27H6.8,WBGene00007787
C27H6.2,WBGene00007784
C45G3.1,WBGene00008107
C49F5.1.1,WBGene00008205
C50B6.2,WBGene00008218
C53A5.3,WBGene00001834
D2023.5,WBGene00008409
D2023.2a.1,WBGene00004258
F01G10.1.1,WBGene00008506
F25H5.3e,WBGene00009126
F55B11.2,WBGene00010084
K01G5.4,WBGene00004302
K01G5.7.1,WBGene00006536
K08F9.2.1,WBGene00010685
K10C3.5a,WBGene00010732
R11H6.1.1,WBGene00003982
T28D6.2,WBGene00006533
Y57G11B.5,WBGene00013297
T05F1.3,WBGene00004488
C44B12.5,WBGene00016638
C44B12.1,WBGene00016636
CD4.6,WBGene00003927
F58F6.4,WBGene00004338
T11F8.3a.1,WBGene00004374
F37C4.5a.1,WBGene00018145
F56A11.5b,WBGene00018925
K06A5.6.1,WBGene00019433
W03F8.5a,WBGene00002247
F33D11.11,WBGene00018008
W05G11.6a.1,WBGene00021043
C34B2.6,WBGene00016391
C34B2.7.1,WBGene00016392
K09H9.2.1,WBGene00019595
C11D2.4,WBGene00015702
W02F12.5,WBGene00020950
K07H8.10.1,WBGene00019510
Y50D7A.7,WBGene00000081
B0513.4a,WBGene00007196
F22G12.4a,WBGene00009064
F31D4.3.1,WBGene00001431
F39B2.2.1,WBGene00006730
F53A2.7.1,WBGene00009952
H02I12.1,WBGene00010351
H19N07.1a.1,WBGene00010405
