D1081.7,WBGene00008385
K11H3.1b,WBGene00010778
R06C7.7b,WBGene00003041
Y48G9A.3,WBGene00021697
C36B1.8b,WBGene00007975
Y66H1B.2l.1,WBGene00022048
ZK593.5b,WBGene00001017
M01E11.4c,WBGene00019713
C01G8.5b,WBGene00001333
C18G1.4a,WBGene00003994
C09G9.6,WBGene00003864
Y102A5A.1,WBGene00013606
Y80D3A.1,WBGene00006945
F53A2.4,WBGene00003829
F22B5.7,WBGene00006994
C26C6.1a,WBGene00007042
F52H3.7a.1,WBGene00002265
F28H1.3.1,WBGene00000197
F28H1.2,WBGene00000779
C44E4.4.1,WBGene00016653
C53H9.2a,WBGene00016907
F45H10.1a.1,WBGene00000113
C02A12.4,WBGene00003096
F32D1.10,WBGene00003159
ZC308.1a,WBGene00001596
C15H11.7,WBGene00003922
C27H6.2,WBGene00007784
C50B6.2,WBGene00008218
F25H5.3e,WBGene00009126
C44B12.5,WBGene00016638
C44B12.1,WBGene00016636
CD4.6,WBGene00003927
T11F8.3a.1,WBGene00004374
B0513.4a,WBGene00007196
H02I12.1,WBGene00010351
Y39E4A.3b,WBGene00012713
C08F11.11.1,WBGene00007458
Y41E3.4a,WBGene00001336
ZK1055.7,WBGene00022848
Y48G8AL.6.1,WBGene00004880
C42D8.2a.1,WBGene00006926
C04F6.1,WBGene00006929
F26D10.3.1,WBGene00002005
C37H5.8,WBGene00002010
F01G12.5b.1,WBGene00002280
F59D8.2,WBGene00006928
C15H9.6a.1,WBGene00002007
F25H5.4a.1,WBGene00001167
R107.6b.1,WBGene00000549
C02F5.9,WBGene00003952
C07A9.2.1,WBGene00007400
C27D11.1,WBGene00001209
F54H12.1a,WBGene00000041
T05G5.3.1,WBGene00000405
T20G5.1,WBGene00011867
C47B2.3.1,WBGene00006529
F37A4.8,WBGene00002169
C03C10.1.1,WBGene00002202
C03C10.3,WBGene00004392
C07G2.3a.1,WBGene00000380
C09H10.2.1,WBGene00004454
C49H3.11.1,WBGene00004471
Y75B12B.2.1,WBGene00000883
C36E8.5.1,WBGene00006537
C47D12.6a,WBGene00006617
D1005.1,WBGene00016995
C50F7.4,WBGene00016844
C06A1.1,WBGene00007352
C41C4.8.1,WBGene00008053
C07D8.6,WBGene00015565
C32E8.2a.1,WBGene00004425
C37H5.6a,WBGene00016509
B0464.7,WBGene00000235
B0464.1.1,WBGene00001094
T23G5.1.1,WBGene00004391
C30C11.2.1,WBGene00004460
C38C3.5a.1,WBGene00006794
C08B11.7.1,WBGene00006724
C28H8.3,WBGene00016194
R74.1.1,WBGene00003073
ZK520.4a,WBGene00000837
B0001.4a,WBGene00007089
C01B10.8.1,WBGene00015282
C01G6.3.1,WBGene00007225
C01G6.6a.1,WBGene00006510
C06H2.1.1,WBGene00007385
C07G1.5.1,WBGene00004101
C08B6.9,WBGene00000142
C14B1.1.1,WBGene00003962
C16A3.10.1,WBGene00015814
C23G10.4b.1,WBGene00004459
C26D10.1,WBGene00004304
C26D10.2a,WBGene00001840
C36A4.4,WBGene00007965
C39D10.7.1,WBGene00016534
C42D4.1.1,WBGene00016594
C44B7.5,WBGene00016627
C44B7.10.1,WBGene00016630
C47E8.5.1,WBGene00000915
C52E4.4.1,WBGene00004501
F01F1.5.1,WBGene00001057
F10G7.2,WBGene00006626
F18A1.5,WBGene00017546
F21D5.5,WBGene00009010
F22D6.3a,WBGene00003815
F26F4.1.1,WBGene00017825
F26F4.10a.1,WBGene00004679
F28C6.6.1,WBGene00006307
F35G12.12,WBGene00009445
F37C12.7,WBGene00018152
F54D5.7.1,WBGene00010052
F56F3.1,WBGene00004132
F57B9.2a,WBGene00002845
F58B3.5a,WBGene00003415
K07C5.4,WBGene00010627
M110.4a,WBGene00002066
M88.5c,WBGene00010908
R07E5.2,WBGene00011110
T02G5.8.1,WBGene00002183
T06E4.1.1,WBGene00001830
T07C4.3a,WBGene00011560
C37C3.2a.1,WBGene00016496
T22B7.7,WBGene00020674
ZK20.3.1,WBGene00013924
ZK863.4.1,WBGene00014124
K12D12.1,WBGene00010785
C47E12.5a.1,WBGene00006699
F20D12.1a,WBGene00017641
W01A8.1c.1,WBGene00007024
T13C2.6b,WBGene00020481
Y106G6H.2a.1,WBGene00003902
C27H6.4b,WBGene00007786
C01G10.8.1,WBGene00007235
F38A5.13,WBGene00001029
F01F1.7,WBGene00017162
C18A3.5a,WBGene00015943
Y65B4BR.4a,WBGene00007009
C30F8.2.1,WBGene00016258
C07H6.5,WBGene00000479
T08B2.7a,WBGene00020347
Y48G8AL.5a,WBGene00021686
Y55F3AM.15,WBGene00000816
F59D8.1,WBGene00006927
Y110A7A.14.1,WBGene00003924
W08E12.7.1,WBGene00021088
H27M09.1,WBGene00019245
T22F3.3a,WBGene00020696
C53D5.6,WBGene00002077
K07A12.7,WBGene00010624
Y25C1A.5.1,WBGene00021292
H34C03.2b,WBGene00019259
Y87G2A.5.1,WBGene00006936
Y48B6A.12.1,WBGene00012983
Y49E10.19,WBGene00013038
T05F1.2,WBGene00011489
T05E12.3,WBGene00011486
C04F12.4.1,WBGene00004426
C25D7.8.1,WBGene00007718
C25D7.6,WBGene00003155
Y40B1B.6.1,WBGene00005010
Y37D8A.2,WBGene00012544
Y17G7B.5a.1,WBGene00003154
