Y42G9A.6a,WBGene00021535
Y38F2AR.12a,WBGene00021430
C35B8.4,WBGene00044743
T21D12.14,WBGene00045177
VM106R.1,WBGene00014848
Y41E3.22a,WBGene00045146
H01M10.3,WBGene00045268
H29C22.1,WBGene00045261
K10C2.8,WBGene00045265
F46G11.6,WBGene00045269
F07G6.10,WBGene00045271
F54F7.9,WBGene00045251
F09A5.9,WBGene00045245
C52D10.12.1,WBGene00016879
C52D10.13,WBGene00000711
C42C1.4a,WBGene00016582
C42C1.7a,WBGene00016585
C42C1.10d,WBGene00016588
C42C1.11a.1,WBGene00016589
C42C1.12,WBGene00016590
C42C1.14,WBGene00004448
C42C1.15,WBGene00016592
C42C1.5.1,WBGene00016583
T06A10.4a.1,WBGene00020287
F38A1.9,WBGene00009522
T08D2.8,WBGene00011613
ZC47.6,WBGene00013839
ZC47.14,WBGene00013845
C43E11.12a.1,WBGene00016609
C44C10.9b,WBGene00008089
C45B11.6,WBGene00045379
D1086.17,WBGene00045355
Y71F9AR.4,WBGene00044894
Y47G6A.33,WBGene00045399
Y71F9AM.8,WBGene00045398
F57C9.4b,WBGene00019011
T04D1.3d,WBGene00006791
T07H8.4a.1,WBGene00003165
F26D11.12,WBGene00045392
T28A11.2,WBGene00020869
T03F1.8a,WBGene00020190
Y46G5A.18a.1,WBGene00012908
Y48C3A.17a,WBGene00001162
Y39B6A.3b,WBGene00012666
M110.5b.1,WBGene00000894
T07D4.5,WBGene00045407
F54D5.1a,WBGene00003960
C53B4.4b,WBGene00008274
F58G6.9a,WBGene00044107
F25H8.1a,WBGene00009131
C01H6.7a.1,WBGene00007256
C01H6.8a,WBGene00007257
C08B6.1b,WBGene00007422
F37D6.2c.1,WBGene00009508
ZC434.7a.1,WBGene00013893
R07B7.9a,WBGene00011093
T04H1.4b.1,WBGene00004296
F43G9.2a,WBGene00009665
C25F9.11,WBGene00045411
F02E9.4b,WBGene00004117
R13H4.4b,WBGene00001978
T02E1.5b,WBGene00000967
T26F2.3.1,WBGene00045401
K10H10.12,WBGene00045403
Y22F5A.3b,WBGene00004364
T19A6.3b,WBGene00011828
Y54G11A.10a,WBGene00002996
Y57A10A.18c,WBGene00004167
Y37H2A.14,WBGene00045416
Y105E8A.23b,WBGene00013680
F27E5.7,WBGene00044035
