C52E4.4.1,WBGene00004501
C23G10.4b.1,WBGene00004459
C30C11.2.1,WBGene00004460
T02G5.8.1,WBGene00002183
C16A3.9,WBGene00004482
C23G10.3,WBGene00004472
C37A2.7,WBGene00016493
JC8.3a,WBGene00004424
C32E8.2a.1,WBGene00004425
C09D4.5.1,WBGene00004431
C14B9.7,WBGene00004433
B0336.10.1,WBGene00004435
C53H9.1.1,WBGene00004441
C06B8.8.1,WBGene00004452
B0041.4,WBGene00004415
C09H10.2.1,WBGene00004454
C38C3.5a.1,WBGene00006794
F28H1.3.1,WBGene00000197
F22D6.3a,WBGene00003815
B0464.1.1,WBGene00001094
C07H6.5,WBGene00000479
F28H1.2,WBGene00000779
C03C10.1.1,WBGene00002202
C07G2.1a,WBGene00000465
F25H5.4a.1,WBGene00001167
C27D11.1,WBGene00001209
B0348.6b.1,WBGene00002061
F37C12.7,WBGene00018152
F26D10.3.1,WBGene00002005
C15H9.6a.1,WBGene00002007
C37H5.8,WBGene00002010
C47E8.5.1,WBGene00000915
T22D1.3a,WBGene00020682
F52E10.5,WBGene00002051
R74.1.1,WBGene00003073
C02A12.4,WBGene00003096
C17G10.5.1,WBGene00003097
Y48B6A.12.1,WBGene00012983
F58B3.5a,WBGene00003415
Y75B12B.2.1,WBGene00000883
F54H12.1a,WBGene00000041
F26F4.10a.1,WBGene00004679
D1005.1,WBGene00016995
K12D12.1,WBGene00010785
F27D4.1,WBGene00009187
Y41E3.4a,WBGene00001336
C16A3.10.1,WBGene00015814
R07E5.2,WBGene00011110
F18A1.5,WBGene00017546
C36B1.4.1,WBGene00003925
B0365.3.1,WBGene00001137
B0513.4a,WBGene00007196
C01G10.8.1,WBGene00007235
C04F12.4.1,WBGene00004426
C25D7.6,WBGene00003155
C27H6.2,WBGene00007784
C42C1.14,WBGene00004448
C50B6.2,WBGene00008218
C14B1.1.1,WBGene00003962
F35G12.12,WBGene00009445
F52H3.7a.1,WBGene00002265
H02I12.1,WBGene00010351
K08E3.4,WBGene00010664
M110.4a,WBGene00002066
M88.5c,WBGene00010908
T05E11.3a.1,WBGene00011480
T07C4.3a,WBGene00011560
W01A8.1c.1,WBGene00007024
Y17G7B.5a.1,WBGene00003154
Y18D10A.17,WBGene00012484
Y62H9A.3,WBGene00013391
C44B7.10.1,WBGene00016630
C01B10.8.1,WBGene00015282
W08E12.7.1,WBGene00021088
C44B12.5,WBGene00016638
Y48G9A.3,WBGene00021697
F56F11.4b,WBGene00018991
T08B2.7a,WBGene00020347
Y66H1B.2l.1,WBGene00022048
C39D10.7.1,WBGene00016534
C44B12.1,WBGene00016636
Y48G8AL.5a,WBGene00021686
C10G8.4,WBGene00015683
C04C3.3,WBGene00015413
F25H5.3e,WBGene00009126
T11F8.3a.1,WBGene00004374
C26D10.1,WBGene00004304
T23G5.1.1,WBGene00004391
T07A9.11.1,WBGene00004493
C26D10.2a,WBGene00001840
C07G2.3a.1,WBGene00000380
C06A1.1,WBGene00007352
C41C4.8.1,WBGene00008053
F10G7.2,WBGene00006626
C13B4.2,WBGene00006856
C47E12.5a.1,WBGene00006699
C28H8.3,WBGene00016194
K07C5.4,WBGene00010627
C30C11.4.1,WBGene00016250
C08F11.11.1,WBGene00007458
C17H12.14,WBGene00006917
Y87G2A.5.1,WBGene00006936
K09F5.2,WBGene00006925
C42D8.2a.1,WBGene00006926
F59D8.1,WBGene00006927
F59D8.2,WBGene00006928
C04F6.1,WBGene00006929
K07H8.6c,WBGene00006930
F32D1.10,WBGene00003159
