M117.2a.1,WBGene00003920
F52D10.3a.1,WBGene00001502
K07D4.3,WBGene00004467
F49C12.8,WBGene00004463
ZK892.1f,WBGene00002266
F36A2.6,WBGene00004484
T08B2.10.1,WBGene00004486
T05F1.3,WBGene00004488
F37C12.11,WBGene00004490
F28D1.7a.1,WBGene00004492
K02B2.5.1,WBGene00004494
H06I04.4a.1,WBGene00006725
T05E11.1,WBGene00004474
Y71A12B.1a,WBGene00004475
F42C5.8a,WBGene00004477
F10B5.1.1,WBGene00004421
M01F1.2.1,WBGene00004428
K11H12.2,WBGene00004427
Y48G8AL.8,WBGene00004429
Y45F10D.12.1,WBGene00004430
E04A4.8,WBGene00004432
F52B5.6.1,WBGene00004439
D1007.12,WBGene00004436
F28C6.7a,WBGene00004440
F13B10.2a.1,WBGene00004414
W09C5.6a,WBGene00004445
ZK652.4.1,WBGene00004449
F10E7.7.1,WBGene00004447
F54C9.5,WBGene00004416
R151.3.1,WBGene00004417
F53G12.10.1,WBGene00004418
Y24D9A.4a,WBGene00004419
F35D11.11b,WBGene00018051
T19H12.2,WBGene00020588
E04F6.5a.1,WBGene00017125
K02F2.2.1,WBGene00019322
F41G4.2a,WBGene00000294
F54D8.3a.1,WBGene00000107
ZK973.6,WBGene00000140
R10E12.1b.1,WBGene00007010
T21G5.3,WBGene00001598
Y38A10A.5.1,WBGene00000802
Y54G11A.6.1,WBGene00000830
Y22D7AL.5a.1,WBGene00002025
C25A8.4,WBGene00016084
Y38C1AA.2,WBGene00000815
Y23H5A.7a,WBGene00000800
C17G10.8,WBGene00000970
C14A4.1,WBGene00007555
LLC1.3a,WBGene00010794
F23B12.5.1,WBGene00009082
C18A11.7a,WBGene00001000
B0432.2,WBGene00015184
R10E4.4.1,WBGene00003157
ZK632.1a,WBGene00003158
C02C6.1b,WBGene00001130
T12E12.4b.1,WBGene00001093
F55C5.5,WBGene00010094
T21B10.2c.1,WBGene00011884
T05H4.6a,WBGene00020269
Y54E2A.11a.1,WBGene00001225
F22B5.2a,WBGene00001230
F40F4.2.1,WBGene00002254
F02A9.2a,WBGene00001385
F02A9.3.1,WBGene00001386
T23G11.3.1,WBGene00001595
F01F1.12a.1,WBGene00017166
F38A5.3a,WBGene00002274
T17H7.4d.1,WBGene00003936
R107.7.1,WBGene00001749
T09F3.3.1,WBGene00001683
K10B3.8.1,WBGene00001684
T10F2.1a,WBGene00001744
C34C12.8,WBGene00007927
K01G5.4,WBGene00004302
F43E2.8a.1,WBGene00002008
T27E4.2,WBGene00002017
T27E4.3,WBGene00002019
F52E1.7a.1,WBGene00002021
C09B8.6a,WBGene00002023
F28B3.7a,WBGene00001860
F08G2.1,WBGene00001918
B0035.9,WBGene00001920
ZK1055.1,WBGene00001829
F26B1.3,WBGene00002073
F54F2.1,WBGene00003929
ZK1058.2,WBGene00003930
W10G6.3,WBGene00003485
K05B2.3,WBGene00002052
F10C1.2b,WBGene00002053
F10C1.7e,WBGene00002054
R04E5.10a,WBGene00002057
F25E2.4,WBGene00002058
C43C3.1.1,WBGene00002067
R05D3.7,WBGene00006840
DY3.2.1,WBGene00003052
W03F8.5a,WBGene00002247
C54D1.5,WBGene00016913
F14D12.2.1,WBGene00006826
Y40B10A.1a,WBGene00021486
T02G5.9b,WBGene00002238
Y37E11AL.7a,WBGene00003129
Y37E3.9,WBGene00004014
T24H7.1.1,WBGene00004015
C09D1.1b,WBGene00006820
R06C7.10.1,WBGene00002348
T18D3.4,WBGene00003514
Y65B4BR.5b,WBGene00022042
M28.5,WBGene00010896
F52B10.1,WBGene00003776
F25H2.5.1,WBGene00009119
C37C3.6b.1,WBGene00003242
T21D12.4,WBGene00003932
Y49A3A.5,WBGene00000877
Y75B12B.5,WBGene00000879
F25B5.7a,WBGene00017778
F29G9.5,WBGene00004502
F23F12.6.1,WBGene00004503
F23F1.8a,WBGene00004504
ZK836.2a.1,WBGene00014098
ZC434.8.1,WBGene00013894
M18.2,WBGene00010888
F54H12.6,WBGene00018846
Y41E3.10b,WBGene00012768
F17C11.9a.1,WBGene00008920
H14A12.2a,WBGene00001503
F11G11.2,WBGene00001755
F32D1.5a.1,WBGene00017984
K07A1.12,WBGene00003036
NA,WBGene00303021
ZK1058.1,WBGene00014202
T09B4.9,WBGene00020383
R05D11.3,WBGene00004305
T23F11.1.1,WBGene00011953
F48E8.5.1,WBGene00003901
C47E12.1.1,WBGene00005663
Y18D10A.20,WBGene00003989
T20H4.3a.1,WBGene00004189
T22D1.9,WBGene00004458
F57B9.10a,WBGene00004462
R12E2.3,WBGene00004464
F25H2.9,WBGene00003926
B0365.1,WBGene00007150
B0379.1a,WBGene00007155
C04C11.1a.1,WBGene00007295
C27B7.5,WBGene00007762
C28D4.3.1,WBGene00001607
C44C10.9b,WBGene00008089
C44F1.3.1,WBGene00002267
C46C2.5,WBGene00008113
D1054.10,WBGene00008377
D1054.11,WBGene00008378
D1086.10c,WBGene00044080
D2030.2a.1,WBGene00008412
F01G10.1.1,WBGene00008506
F07A11.2a.1,WBGene00008546
F13G11.3,WBGene00045038
F18E2.2,WBGene00006512
F20D1.3,WBGene00008975
F21D5.1,WBGene00009006
F22B3.4.1,WBGene00009035
F25D1.1a,WBGene00006460
F26D10.10,WBGene00001606
F29G6.3f,WBGene00009259
F31D4.3.1,WBGene00001431
F38B2.1d,WBGene00002050
F49E12.1,WBGene00009897
F53A2.7.1,WBGene00009952
F54F7.3,WBGene00010065
F55B11.2,WBGene00010084
F55B11.3.1,WBGene00010085
F55B11.4,WBGene00010086
F58D5.1a.1,WBGene00002000
F59A2.1b.1,WBGene00003795
JC8.8,WBGene00010440
K08C7.3f,WBGene00001328
K08E3.5b,WBGene00010665
K08F4.2,WBGene00010677
R05H5.3,WBGene00011038
R06F6.9.1,WBGene00001153
R07H5.8,WBGene00011128
R12H7.2,WBGene00000217
R13H4.2a,WBGene00014826
T08G11.1a,WBGene00011629
T24B8.1a.1,WBGene00004446
T27E9.1a.1,WBGene00006439
