AH6.5,WBGene00003231
B0035.12.1,WBGene00007111
B0035.8,WBGene00001922
B0041.4,WBGene00004415
B0041.8.1,WBGene00015011
B0205.7,WBGene00002191
B0244.8,WBGene00015083
B0250.1,WBGene00004413
B0280.5,WBGene00015102
B0334.4,WBGene00007144
B0336.10.1,WBGene00004435
B0336.2.1,WBGene00000182
B0348.6b.1,WBGene00002061
B0365.3.1,WBGene00001137
B0365.6.1,WBGene00007153
B0379.3a,WBGene00003508
B0393.1.1,WBGene00004469
B0414.5,WBGene00000772
B0464.3,WBGene00007185
B0491.5.1,WBGene00007192
B0511.10,WBGene00001228
B0511.8.1,WBGene00044321
B0511.9c,WBGene00015235
B0546.1.1,WBGene00015248
C01B10.6a.1,WBGene00015280
C01G8.1a,WBGene00015312
C02E11.1b,WBGene00015344
C03B1.12,WBGene00003053
C04C3.3,WBGene00015413
C04F5.8,WBGene00015450
C05C8.1a,WBGene00015460
C05D11.11b.1,WBGene00003214
C06A1.5,WBGene00007355
C06A8.3,WBGene00015514
C06B8.8.1,WBGene00004452
C07A12.4a.1,WBGene00003963
C07G2.1a,WBGene00000465
C07H6.2,WBGene00015579
C08B11.3,WBGene00007433
C08B6.8a,WBGene00007429
C08H9.2a,WBGene00007463
C09D4.5.1,WBGene00004431
C09G4.3,WBGene00001051
C09H10.7,WBGene00007501
C10G11.7a.1,WBGene00015687
C10G8.4,WBGene00015683
C12C8.3a.1,WBGene00003026
C13B4.2,WBGene00006856
C14B1.2,WBGene00007573
C14B9.4b,WBGene00004042
C14B9.7,WBGene00004433
C14C10.5a,WBGene00007588
C14C6.5a,WBGene00015759
C15F1.6,WBGene00000198
C15F1.7a,WBGene00004930
C16A3.5.1,WBGene00015810
C16A3.9,WBGene00004482
C16C10.11.1,WBGene00007630
C16C10.4.1,WBGene00007625
C16H3.2,WBGene00002272
C17E4.5,WBGene00003904
C17F4.5,WBGene00015912
C17F4.7.1,WBGene00015913
C17G10.5.1,WBGene00003097
C17G10.9e,WBGene00015920
C17H12.13a,WBGene00015938
C17H12.14,WBGene00006917
C17H12.8.1,WBGene00015933
C18D11.4a.1,WBGene00004705
C18E9.4.1,WBGene00007684
C18E9.6,WBGene00007686
C18G1.5,WBGene00001855
C23G10.2a.1,WBGene00016011
C23G10.3,WBGene00004472
C23H5.8a,WBGene00016027
C24F3.1b,WBGene00007696
C25A1.10a.1,WBGene00000931
C25A1.8,WBGene00007709
C25B8.3a,WBGene00000786
C25B8.4b,WBGene00016088
C26C6.2,WBGene00001648
C26E6.3,WBGene00016139
C26E6.4,WBGene00016140
C26F1.4.1,WBGene00004499
C27A2.2a,WBGene00004434
C27A2.3.1,WBGene00002068
C27B7.9,WBGene00007765
C28C12.7b,WBGene00004995
C28H8.4.1,WBGene00016195
C29E4.3a,WBGene00004303
C29H12.2.1,WBGene00016235
C30C11.4.1,WBGene00016250
C32D5.9,WBGene00002980
C32F10.1a.1,WBGene00016331
C33A12.1,WBGene00007880
C34B2.8,WBGene00016393
C34D4.14f,WBGene00016405
C34E10.6.1,WBGene00000229
C34F6.2,WBGene00000751
C35D10.1,WBGene00016439
C36B1.12c.1,WBGene00007979
C36B1.4.1,WBGene00003925
C36E6.3,WBGene00003369
C37A2.7,WBGene00016493
C38D4.4,WBGene00008005
C39E9.14a.1,WBGene00001007
C41G7.9b,WBGene00077771
C42C1.14,WBGene00004448
C44B12.2a,WBGene00003893
C44B7.1,WBGene00016623
C44E4.3,WBGene00016652
C44E4.6.1,WBGene00016655
C46F11.2a,WBGene00008117
C47B2.4,WBGene00003948
C47B2.5.1,WBGene00001234
C47E12.4b.1,WBGene00008149
C47G2.5c,WBGene00008166
C50C3.6,WBGene00004187
C50D2.5,WBGene00016808
C52E4.2c,WBGene00003235
C52E4.3.1,WBGene00004917
C53A5.1.1,WBGene00008262
C53B4.5,WBGene00000693
C53H9.1.1,WBGene00004441
C54G4.8,WBGene00000869
C55B7.4a,WBGene00016943
C56C10.3.1,WBGene00016961
C56C10.8.1,WBGene00002045
C56G7.1,WBGene00003372
D1007.1,WBGene00000440
D1007.4,WBGene00017002
D1007.5a,WBGene00017003
D1037.2,WBGene00004890
D1053.3,WBGene00008368
D1053.4,WBGene00008369
D1054.1,WBGene00008370
D1054.13b,WBGene00008379
D1054.15a.1,WBGene00006481
D1081.8,WBGene00008386
D1081.9,WBGene00008387
D1086.3,WBGene00008390
D2007.5.1,WBGene00017045
D2013.5,WBGene00001134
D2013.8a,WBGene00004744
D2021.4a.1,WBGene00017048
D2024.8,WBGene00000688
D2030.3.1,WBGene00008413
D2030.9a.1,WBGene00008419
D2096.5,WBGene00017072
D2096.6,WBGene00017073
DH11.5d,WBGene00008438
DY3.5,WBGene00004115
E_BE45912.2,WBGene00017153
E01A2.3,WBGene00003029
E01G4.1b,WBGene00008444
E02H1.5,WBGene00008457
E04A4.4a,WBGene00001983
E04A4.5,WBGene00017119
E04A4.6,WBGene00017120
E04F6.4,WBGene00017124
E04F6.6,WBGene00017126
EEED8.16,WBGene00017144
F01F1.10b,WBGene00017164
F01F1.11,WBGene00017165
