T02G6.5c,WBGene00011388
Y116A8A.6,WBGene00013776
F38H4.8b,WBGene00001151
F32E10.4,WBGene00002074
R08B4.2,WBGene00044330
K08D9.4a,WBGene00019525
ZK507.6,WBGene00000863
E01A2.3,WBGene00003029
Y57G11C.15a,WBGene00013311
R06C1.3a,WBGene00006958
JC8.2.1,WBGene00010435
D1081.8,WBGene00008386
K08B4.3,WBGene00019515
Y22D7AL.9,WBGene00021247
Y119D3B.14,WBGene00022491
Y18D10A.1,WBGene00012474
Y34D9A.3a,WBGene00021329
F44E5.5.1,WBGene00009692
T10H9.2,WBGene00004740
Y75B8A.13,WBGene00013549
F26D10.3.1,WBGene00002005
Y49E10.11c.1,WBGene00013034
F15A2.6a,WBGene00004719
F12E12.9,WBGene00044693
Y20F4.4a,WBGene00021239
F41E7.6,WBGene00009622
M01F1.7,WBGene00010813
M116.5,WBGene00019792
Y39A3CL.2,WBGene00006513
ZK593.5b,WBGene00001017
T04C12.2a,WBGene00005296
Y57G11C.6,WBGene00013304
K12C11.4a,WBGene00003400
Y47G6A.6,WBGene00021636
R04E5.8a.1,WBGene00019871
H20J18.1a.1,WBGene00004739
W05F2.4a,WBGene00021036
Y45F10C.1,WBGene00012877
F21F8.10,WBGene00006183
F29C4.8j,WBGene00000674
F30A10.10,WBGene00009267
F25H2.2,WBGene00009116
Y51A2B.6,WBGene00013070
ZK1307.6,WBGene00001510
T21H3.2b,WBGene00004230
R13A5.5.1,WBGene00000437
Y18D10A.13.1,WBGene00003905
F02E9.4b,WBGene00004117
K03A1.5.1,WBGene00006351
Y48E1B.7,WBGene00013006
Y45F10D.7.1,WBGene00012887
F20D1.8,WBGene00008978
T20F10.5,WBGene00011866
T23F6.5,WBGene00011952
F53F4.14.1,WBGene00009996
F32D1.4a,WBGene00001722
T01G1.3.1,WBGene00011338
F55G1.8.1,WBGene00004044
F41E7.2.1,WBGene00009618
F13H10.4a,WBGene00008775
F42F12.4.1,WBGene00009636
D2013.8a,WBGene00004744
F55B11.1,WBGene00010083
K08E5.3a,WBGene00003482
ZK520.4a,WBGene00000837
F55G1.15,WBGene00018907
Y47G6A.12.1,WBGene00004775
Y48B6A.1,WBGene00012978
T08G3.8,WBGene00005707
ZC404.3a.1,WBGene00004975
Y105C5B.11b,WBGene00013651
F23B2.4,WBGene00000906
T21D12.15,WBGene00206487
F18A1.5,WBGene00017546
F21F8.3.1,WBGene00000218
Y38A10A.6,WBGene00021391
ZK673.10,WBGene00014064
M01E5.6,WBGene00010808
R09B5.6,WBGene00019978
T14F9.1.1,WBGene00020507
F39B2.4b,WBGene00006349
ZC376.6b,WBGene00013877
Y71H2AM.7,WBGene00022172
Y110A2AL.8c.1,WBGene00004210
Y105E8A.12a,WBGene00013672
F33D11.10,WBGene00018007
F44B9.6,WBGene00003021
W08E12.7.1,WBGene00021088
F16B4.1a,WBGene00017503
F52D2.12,WBGene00219451
H37A05.2,WBGene00010426
W09C3.6,WBGene00021113
F43G9.6a,WBGene00001414
K07H8.2a.1,WBGene00019504
F26C11.3b,WBGene00009147
ZK1005.1a,WBGene00004053
F53H4.1,WBGene00000803
F21C3.4a,WBGene00004324
Y71H2AM.3,WBGene00022168
F44E2.4,WBGene00018418
W01G7.5,WBGene00002275
W08F4.5,WBGene00021094
F55F8.1.1,WBGene00004224
M01F1.1,WBGene00001639
Y110A7A.14.1,WBGene00003924
F59H6.9,WBGene00019139
PAR2.4a.1,WBGene00003253
F28D1.10.1,WBGene00001580
K10B2.1b.1,WBGene00003009
K08E3.1,WBGene00010661
F35G12.12,WBGene00009445
D1007.5a,WBGene00017003
F09C8.2,WBGene00008622
Y65B4BR.4a,WBGene00007009
Y75B8A.6a,WBGene00013543
Y54E10BR.1a,WBGene00021840
M199.136,WBGene00255546
M163.11,WBGene00044147
T05F1.11,WBGene00011495
Y38E10A.6b,WBGene00012584
T23E7.2a,WBGene00020732
F59A3.9,WBGene00019082
H06I04.5,WBGene00019169
F33D4.6c,WBGene00017998
F25B5.2b.1,WBGene00017774
K04C2.2.1,WBGene00019380
Y48A6B.8,WBGene00012969
F45E12.2a,WBGene00000271
T05E7.3.1,WBGene00020259
F15B10.2a,WBGene00001090
W04D2.2a,WBGene00012242
ZC434.6b,WBGene00000148
Y70G10A.3.1,WBGene00013499
Y67D2.6,WBGene00022056
Y54F10AM.4a,WBGene00000464
