AH6.5,WBGene00003231
B0001.4a,WBGene00007089
B0035.12.1,WBGene00007111
B0035.8,WBGene00001922
B0041.4,WBGene00004415
B0041.8.1,WBGene00015011
B0205.7,WBGene00002191
B0244.8,WBGene00015083
B0250.1,WBGene00004413
B0334.4,WBGene00007144
B0336.10.1,WBGene00004435
B0336.2.1,WBGene00000182
B0365.3.1,WBGene00001137
B0365.6.1,WBGene00007153
B0379.3a,WBGene00003508
B0393.1.1,WBGene00004469
B0414.5,WBGene00000772
B0464.1.1,WBGene00001094
B0464.7,WBGene00000235
B0491.5.1,WBGene00007192
B0511.10,WBGene00001228
B0511.8.1,WBGene00044321
B0513.4a,WBGene00007196
B0546.1.1,WBGene00015248
C01B10.6a.1,WBGene00015280
C01B10.8.1,WBGene00015282
C01G10.8.1,WBGene00007235
C01G6.3.1,WBGene00007225
C01G6.6a.1,WBGene00006510
C01G8.1a,WBGene00015312
C01G8.5b,WBGene00001333
C02A12.4,WBGene00003096
C02E11.1b,WBGene00015344
C02F5.9,WBGene00003952
C03B1.12,WBGene00003053
C03C10.1.1,WBGene00002202
C03C10.3,WBGene00004392
C04C3.3,WBGene00015413
C04F12.4.1,WBGene00004426
C04F5.8,WBGene00015450
C04F6.1,WBGene00006929
C05C8.1a,WBGene00015460
C06A1.1,WBGene00007352
C06A1.5,WBGene00007355
C06A8.3,WBGene00015514
C06B8.8.1,WBGene00004452
C06H2.1.1,WBGene00007385
C07A12.4a.1,WBGene00003963
C07A9.2.1,WBGene00007400
C07D8.6,WBGene00015565
C07G1.5.1,WBGene00004101
C07G2.1a,WBGene00000465
C07G2.3a.1,WBGene00000380
C07H6.5,WBGene00000479
C08B11.3,WBGene00007433
C08B11.7.1,WBGene00006724
C08B6.8a,WBGene00007429
C08B6.9,WBGene00000142
C08F11.11.1,WBGene00007458
C08H9.2a,WBGene00007463
C09D4.5.1,WBGene00004431
C09G4.3,WBGene00001051
C09G9.6,WBGene00003864
C09H10.2.1,WBGene00004454
C09H10.7,WBGene00007501
C10G11.7a.1,WBGene00015687
C13B4.2,WBGene00006856
C14B1.1.1,WBGene00003962
C14B1.2,WBGene00007573
C14B9.7,WBGene00004433
C14C10.5a,WBGene00007588
C14C6.5a,WBGene00015759
C15F1.6,WBGene00000198
C15H11.7,WBGene00003922
C15H9.6a.1,WBGene00002007
C16A3.10.1,WBGene00015814
C16A3.5.1,WBGene00015810
C16A3.9,WBGene00004482
C16C10.4.1,WBGene00007625
C16H3.2,WBGene00002272
C17E4.5,WBGene00003904
C17F4.5,WBGene00015912
C17F4.7.1,WBGene00015913
C17G10.5.1,WBGene00003097
C17H12.13a,WBGene00015938
C17H12.14,WBGene00006917
C17H12.8.1,WBGene00015933
C18A3.5a,WBGene00015943
C18D11.4a.1,WBGene00004705
