ORF,GFP_R12,rank_GFP,abs,rank_abs
YMR247C,2.444207,1,2.444207,1
YMR116C,2.284663,2,2.284663,2
YPL122C,-2.210789,5373,2.210789,3
YHR036W,-2.073254,5372,2.073254,4
YOR361C,-2.028658,5371,2.028658,5
YDR333C,2.019187,3,2.019187,6
YHR007C,-1.846698,5370,1.846698,7
YDR266C,1.7958,4,1.7958,8
YOR336W,-1.78736,5369,1.78736,9
YDR159W,-1.773805,5368,1.773805,10
YBR173C,1.738167,5,1.738167,11
YOR218C,-1.712299,5367,1.712299,12
YHR062C,-1.678501,5366,1.678501,13
YGL048C,1.631409,6,1.631409,14
YPR103W,1.607312,7,1.607312,15
YGR074W,1.597449,8,1.597449,16
YPR103W,1.54788,9,1.54788,17
YPR108W,1.469706,10,1.469706,18
YGR075C,1.464326,11,1.464326,19
YNL107W,-1.451414,5365,1.451414,20
YPL018W,-1.436963,5364,1.436963,21
YOR078W,1.430223,12,1.430223,22
YGL011C,1.407714,13,1.407714,23
YNL038W,-1.381402,5363,1.381402,24
YGR135W,1.244542,14,1.244542,25
YPR119W,-1.231543,5362,1.231543,26
YPL157W,1.229547,15,1.229547,27
YGR271W,1.218367,16,1.218367,28
YDR318W,-1.204414,5361,1.204414,29
YDL097C,1.200176,17,1.200176,30
YPR108W,1.18914,18,1.18914,31
YPL075W,-1.177926,5360,1.177926,32
YOR262W,-1.177262,5359,1.177262,33
YFR052W,1.162343,19,1.162343,34
YDL147W,1.144917,20,1.144917,35
YOL052C,1.129265,21,1.129265,36
YDR318W,-1.128754,5358,1.128754,37
YJR090C,-1.112193,5357,1.112193,38
YMR314W,1.09643,22,1.09643,39
YHR059W,-1.092716,5356,1.092716,40
YDL115C,-1.080511,5355,1.080511,41
YOL145C,-1.079079,5354,1.079079,42
YOR117W,1.076735,23,1.076735,43
YDR123C,1.055533,24,1.055533,44
YPR082C,1.038234,25,1.038234,45
YPR024W,1.036826,26,1.036826,46
YPL017C,-1.033145,5353,1.033145,47
YOR204W,-1.020071,5352,1.020071,48
YDL020C,1.013277,27,1.013277,49
YGR190C,-1.006259,5351,1.006259,50
YOR206W,-1.000567,5350,1.000567,51
YHR021C,0.989164,28,0.989164,52
YJL189W,0.979681,29,0.979681,53
YGR145W,-0.976415,5349,0.976415,54
YGR114C,-0.966224,5348,0.966224,55
YGR140W,-0.953237,5347,0.953237,56
YOR257W,-0.950251,5346,0.950251,57
YOR236W,-0.949126,5345,0.949126,58
YBR231C,-0.948222,5344,0.948222,59
YGR251W,-0.938377,5343,0.938377,60
YLR021W,0.93485,30,0.93485,61
YOL108C,0.934496,31,0.934496,62
YBR266C,0.928778,32,0.928778,63
YPR189W,0.924627,33,0.924627,64
YOR244W,-0.92117,5342,0.92117,65
YNL268W,-0.913899,5341,0.913899,66
YGR278W,-0.912817,5340,0.912817,67
YJL204C,-0.909292,5339,0.909292,68
YLR398C,0.908966,34,0.908966,69
YML041C,-0.905011,5338,0.905011,70
YLR418C,-0.895755,5337,0.895755,71
YOR176W,-0.88375,5336,0.88375,72
YGR159C,0.878013,35,0.878013,73
YGR185C,-0.873811,5335,0.873811,74
YBR193C,-0.871244,5334,0.871244,75
YJR043C,-0.854334,5333,0.854334,76
YJL188C,0.851455,36,0.851455,77
YDL021W,-0.850746,5332,0.850746,78
YLR102C,-0.842809,5331,0.842809,79
YNR004W,0.84128,37,0.84128,80
YPR141C,0.838492,38,0.838492,81
YNL280C,0.83187,39,0.83187,82
YKL048C,-0.82468,5330,0.82468,83
YBR115C,-0.821113,5329,0.821113,84
YGR265W,-0.814864,5328,0.814864,85
YKR037C,-0.814319,5327,0.814319,86
YNL268W,-0.814013,5326,0.814013,87
YLR403W,-0.798994,5325,0.798994,88
YJL200C,0.797712,40,0.797712,89
YOR281C,-0.792858,5324,0.792858,90
YDL007W,0.788958,41,0.788958,91
YGR272C,-0.787583,5323,0.787583,92
YDR389W,-0.784783,5322,0.784783,93
YGL244W,-0.782868,5321,0.782868,94
YDR315C,-0.781801,5320,0.781801,95
YDR499W,-0.781682,5319,0.781682,96
YBL071W-A,0.78024,42,0.78024,97
YKL145W,0.778783,43,0.778783,98
YPL009C,0.778394,44,0.778394,99
