Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
A0A9R9,wht-7,NA,NA,1.808083667,0.240247606,NA,4.46E-14,9.7,547
A0A9S2;Q86FM9,,0.231853795,0.130160172,0.0069851,-0.243303487,-0.530270548,2.05E-304,28.5,1187
A0FLQ5,,NA,NA,0.21049609,NA,NA,1.32E-11,16,100
A0PCJ1,,NA,NA,NA,NA,NA,1.70E-11,14.5,110
A0PD34,,-0.557973676,NA,NA,NA,NA,5.24E-12,9.1,308
A0T4F9,,NA,NA,NA,NA,NA,1.22E-17,16.7,114
A2V8C3,ttr-42,NA,NA,NA,NA,NA,3.86E-32,18.7,139
A2V8C8,,NA,0.387109687,0.426606083,0.623331765,0.61672426,1.11E-35,31.7,145
A3FPI6,,-2.743622676,NA,1.743085967,2.560813061,1.885712942,7.31E-17,15.6,211
A3FPI7,,NA,NA,NA,NA,NA,4.67E-07,8.8,160
A3FPJ3,,0.715272676,-0.442757758,NA,1.205496795,1.299808891,3.21E-30,42.5,106
A3FPK6,,NA,NA,NA,2.696938222,NA,5.25E-16,21,224
A3FPK9,ttr-34,NA,NA,NA,NA,NA,1.00E-86,27.3,132
A3QM90,,NA,NA,NA,NA,NA,3.45E-11,8.6,373
A3QM91,,NA,NA,NA,NA,NA,1.00E-35,19.5,277
A3QM97,,-0.06253622,-0.140778656,-0.434348001,-1.129348967,-1.290778251,1.99E-93,21.5,811
A3QM98,col-138,NA,NA,NA,NA,NA,6.74E-84,31,281
A3QMB3,,NA,NA,0.248673399,NA,NA,3.67E-16,3.9,1259
A3QMB6,oac-59,NA,-0.21400043,NA,NA,NA,2.85E-10,6.5,710
A3QMB9;E1TU65,hpo-12,-0.396817103,-0.01948843,0.475655437,NA,0.389507807,4.98E-11,14.7,313
A3QMC2;G5EFT4;A3QMC1,AP-1,-0.525267092,-0.002450499,0.317786298,0.448508591,0.55949423,7.47E-195,36.7,608
A3QMC3,,NA,NA,NA,NA,-0.678612814,7.16E-06,16.8,119
A3QMC5,rpl-34,0.323588149,0.301550353,0.02563222,0.058232605,-0.042083959,2.10E-67,79.1,110
A3QMC6,erl-1,-1.127435184,-0.120219212,0.563859487,0.721253949,0.99412578,1.16E-106,45.8,312
A3QMC8,tag-335,0.254186135,-0.437014622,-0.316261617,-0.377734578,-0.051163253,5.69E-110,40.3,365
A3QMD7,lsy-13,NA,NA,NA,NA,NA,9.63E-14,25.1,247
A4F314,,NA,NA,NA,2.958700937,NA,6.09E-05,9.9,162
A4F325,,-0.01649632,-0.037593076,-0.319271091,0.230363652,0.152339762,5.74E-36,9.8,388
A4F329,fbxa-32,NA,NA,NA,NA,NA,6.16E-08,14.1,305
A4F333,fbxa-37,NA,NA,NA,NA,NA,7.38E-18,12.6,302
A4LBC1,,NA,NA,NA,NA,NA,1.07E-32,13.2,167
A4UVK2,,-0.116897018,-0.166843964,-0.265076777,-0.243912759,-0.123666196,2.67E-92,45.3,234
A4UVK7,,NA,NA,NA,NA,NA,2.52E-12,5.5,457
A4UVL1,,2.348280087,NA,NA,NA,NA,1.01E-49,16.8,226
A4UZ35,,NA,NA,NA,NA,NA,7.99E-27,24.3,115
A5A8P5,,NA,0.984245543,0.589246446,NA,NA,4.29E-74,36.6,112
A5A8P8,,NA,NA,NA,NA,NA,2.35E-12,1.1,1594
A5A8Q1,,NA,NA,NA,NA,NA,0.00058639,11.9,84
A5A8Q6,,NA,NA,NA,NA,NA,5.86E-07,2.7,474
O61843;A5A8Q9;B1V8A0;A5A8R0,unc-57,-0.360982241,-0.509543838,-0.228356954,-0.152248331,0.054527134,4.73E-213,50.1,377
A5A8R1;Q5ZR35;Q5ZR41;Q5ZR36;Q5ZR39;Q5ZR40;Q5ZR42,mec-1,NA,NA,NA,-0.004177761,NA,2.03E-11,3.6,954
A5A8R5,,-0.289716448,NA,NA,NA,0.529280939,2.68E-12,25,128
A5HU97;O45160,,-1.504417003,-0.357045213,0.056416185,1.331154717,1.758672323,1.24E-170,50.5,200
A5HU98;P91425,guk-1,0.017650707,-0.355129058,-0.406318971,-0.241474126,-0.264716569,2.72E-181,61,205
A5HWA5;Q9U2F1,,1.033480936,NA,-0.074505436,NA,NA,1.51E-06,7.2,360
