"KR4of10.orf","KR4of10.position","KR4of10.name"
"Q0050",160,"Q0050_160"
"Q0050",304,"Q0050_304"
"Q0050",400,"Q0050_400"
"Q0050",468,"Q0050_468"
"Q0050",479,"Q0050_479"
"Q0050",487,"Q0050_487"
"Q0050",515,"Q0050_515"
"Q0050",534,"Q0050_534"
"Q0050",590,"Q0050_590"
"Q0050",665,"Q0050_665"
"Q0050",692,"Q0050_692"
"Q0050",821,"Q0050_821"
"Q0055",301,"Q0055_301"
"Q0055",523,"Q0055_523"
"Q0055",548,"Q0055_548"
"Q0055",627,"Q0055_627"
"Q0055",732,"Q0055_732"
"Q0055",825,"Q0055_825"
"Q0060",132,"Q0060_132"
"Q0060",160,"Q0060_160"
"Q0060",392,"Q0060_392"
"Q0065",259,"Q0065_259"
"Q0065",301,"Q0065_301"
"Q0065",372,"Q0065_372"
"Q0070",442,"Q0070_442"
"Q0075",145,"Q0075_145"
"Q0075",182,"Q0075_182"
"Q0115",217,"Q0115_217"
"Q0115",419,"Q0115_419"
"Q0120",383,"Q0120_383"
"Q0120",452,"Q0120_452"
"Q0120",594,"Q0120_594"
"Q0140",48,"Q0140_48"
"Q0140",200,"Q0140_200"
"Q0140",385,"Q0140_385"
"Q0255",102,"Q0255_102"
"YAL001C",139,"YAL001C_139"
"YAL001C",165,"YAL001C_165"
"YAL001C",197,"YAL001C_197"
"YAL001C",252,"YAL001C_252"
"YAL001C",393,"YAL001C_393"
"YAL001C",548,"YAL001C_548"
"YAL001C",633,"YAL001C_633"
"YAL001C",794,"YAL001C_794"
"YAL001C",846,"YAL001C_846"
"YAL001C",884,"YAL001C_884"
"YAL002W",247,"YAL002W_247"
"YAL002W",967,"YAL002W_967"
"YAL002W",982,"YAL002W_982"
"YAL003W",109,"YAL003W_109"
"YAL005C",255,"YAL005C_255"
"YAL005C",316,"YAL005C_316"
"YAL008W",96,"YAL008W_96"
"YAL009W",25,"YAL009W_25"
"YAL009W",129,"YAL009W_129"
"YAL011W",17,"YAL011W_17"
"YAL011W",123,"YAL011W_123"
"YAL011W",231,"YAL011W_231"
"YAL011W",398,"YAL011W_398"
"YAL013W",237,"YAL013W_237"
"YAL013W",269,"YAL013W_269"
"YAL015C",14,"YAL015C_14"
"YAL015C",33,"YAL015C_33"
"YAL015C",102,"YAL015C_102"
"YAL015C",356,"YAL015C_356"
"YAL016W",184,"YAL016W_184"
"YAL017W",147,"YAL017W_147"
"YAL017W",620,"YAL017W_620"
"YAL017W",659,"YAL017W_659"
"YAL017W",1116,"YAL017W_1116"
"YAL018C",41,"YAL018C_41"
"YAL019W",105,"YAL019W_105"
"YAL019W",200,"YAL019W_200"
"YAL019W",234,"YAL019W_234"
"YAL019W",465,"YAL019W_465"
"YAL019W",549,"YAL019W_549"
"YAL019W",715,"YAL019W_715"
"YAL019W",851,"YAL019W_851"
"YAL019W",950,"YAL019W_950"
"YAL021C",536,"YAL021C_536"
"YAL021C",582,"YAL021C_582"
"YAL021C",604,"YAL021C_604"
"YAL021C",624,"YAL021C_624"
"YAL022C",70,"YAL022C_70"
"YAL022C",402,"YAL022C_402"
"YAL023C",224,"YAL023C_224"
"YAL023C",699,"YAL023C_699"
"YAL024C",554,"YAL024C_554"
"YAL024C",616,"YAL024C_616"
"YAL024C",760,"YAL024C_760"
"YAL024C",1268,"YAL024C_1268"
"YAL025C",75,"YAL025C_75"
"YAL025C",123,"YAL025C_123"
"YAL026C",5,"YAL026C_5"
"YAL026C",702,"YAL026C_702"
"YAL026C",934,"YAL026C_934"
"YAL026C",1219,"YAL026C_1219"
"YAL027W",136,"YAL027W_136"
"YAL027W",186,"YAL027W_186"
"YAL028W",20,"YAL028W_20"
"YAL028W",400,"YAL028W_400"
"YAL028W",459,"YAL028W_459"
"YAL029C",384,"YAL029C_384"
"YAL029C",663,"YAL029C_663"
"YAL029C",840,"YAL029C_840"
"YAL029C",857,"YAL029C_857"
"YAL029C",893,"YAL029C_893"
"YAL029C",911,"YAL029C_911"
"YAL029C",1088,"YAL029C_1088"
"YAL029C",1464,"YAL029C_1464"
"YAL031C",61,"YAL031C_61"
"YAL031C",424,"YAL031C_424"
"YAL031C",515,"YAL031C_515"
"YAL031C",671,"YAL031C_671"
"YAL031C",750,"YAL031C_750"
"YAL032C",240,"YAL032C_240"
"YAL033W",124,"YAL033W_124"
"YAL034C",143,"YAL034C_143"
"YAL034C",216,"YAL034C_216"
"YAL034C",358,"YAL034C_358"
"YAL034C",376,"YAL034C_376"
"YAL034W-A",139,"YAL034W-A_139"
"YAL034W-A",226,"YAL034W-A_226"
"YAL035W",121,"YAL035W_121"
"YAL035W",160,"YAL035W_160"
"YAL035W",174,"YAL035W_174"
"YAL035W",210,"YAL035W_210"
"YAL035W",268,"YAL035W_268"
"YAL035W",418,"YAL035W_418"
"YAL035W",516,"YAL035W_516"
"YAL035W",849,"YAL035W_849"
"YAL035W",969,"YAL035W_969"
"YAL036C",127,"YAL036C_127"
"YAL036C",183,"YAL036C_183"
"YAL038W",466,"YAL038W_466"
"YAL039C",248,"YAL039C_248"
"YAL040C",44,"YAL040C_44"
"YAL040C",52,"YAL040C_52"
"YAL040C",536,"YAL040C_536"
"YAL041W",726,"YAL041W_726"
"YAL042W",404,"YAL042W_404"
"YAL043C",244,"YAL043C_244"
"YAL043C",277,"YAL043C_277"
"YAL043C",342,"YAL043C_342"
"YAL043C",354,"YAL043C_354"
"YAL043C",585,"YAL043C_585"
"YAL043C",705,"YAL043C_705"
"YAL047C",118,"YAL047C_118"
"YAL047C",213,"YAL047C_213"
"YAL047C",315,"YAL047C_315"
"YAL047C",378,"YAL047C_378"
"YAL047C",503,"YAL047C_503"
"YAL048C",653,"YAL048C_653"
"YAL051W",57,"YAL051W_57"
"YAL051W",199,"YAL051W_199"
"YAL051W",523,"YAL051W_523"
"YAL051W",591,"YAL051W_591"
"YAL051W",878,"YAL051W_878"
"YAL053W",456,"YAL053W_456"
"YAL054C",140,"YAL054C_140"
"YAL054C",248,"YAL054C_248"
"YAL054C",297,"YAL054C_297"
"YAL054C",642,"YAL054C_642"
"YAL055W",6,"YAL055W_6"
"YAL055W",107,"YAL055W_107"
"YAL056W",83,"YAL056W_83"
"YAL056W",204,"YAL056W_204"
"YAL056W",397,"YAL056W_397"
"YAL056W",779,"YAL056W_779"
"YAL058W",227,"YAL058W_227"
"YAL059W",18,"YAL059W_18"
"YAL059W",126,"YAL059W_126"
"YAL059W",133,"YAL059W_133"
"YAL060W",81,"YAL060W_81"
"YAL060W",225,"YAL060W_225"
"YAL061W",224,"YAL061W_224"
"YAL061W",399,"YAL061W_399"
"YAL062W",119,"YAL062W_119"
"YAL063C-A",58,"YAL063C-A_58"
"YAL064W",29,"YAL064W_29"
"YAL067C",121,"YAL067C_121"
