orf,disome,disome_ID,ratio
YAL001C,1042,YAL001C_1042,17.00960219
YAL002W,1123,YAL002W_1123,6.933333333
YAL003W,135,YAL003W_135,5.10871379
YAL005C,621,YAL005C_621,6.640799032
YAL007C,112,YAL007C_112,13.71011542
YAL008W,156,YAL008W_156,7.317807621
YAL009W,255,YAL009W_255,5.393220339
YAL010C,472,YAL010C_472,68.4624018
YAL011W,237,YAL011W_237,31.48148148
YAL012W,106,YAL012W_106,6.464524552
YAL013W,243,YAL013W_243,6.8753349
YAL015C,331,YAL015C_331,10.67551622
YAL016W,429,YAL016W_429,21.27040284
YAL017W,89,YAL017W_89,3.072039072
YAL019W,1010,YAL019W_1010,96.57657658
YAL020C,262,YAL020C_262,4.440797941
YAL021C,532,YAL021C_532,37.86684982
YAL022C,87,YAL022C_87,8.822719112
YAL023C,235,YAL023C_235,7.69591054
YAL024C,206,YAL024C_206,7.92
YAL025C,106,YAL025C_106,9.601235393
YAL026C,128,YAL026C_128,2.346095698
YAL029C,1019,YAL029C_1019,19.34063988
YAL030W,118,YAL030W_118,72.8
YAL031C,681,YAL031C_681,24.96969697
YAL032C,273,YAL032C_273,8.266196355
YAL035W,285,YAL035W_285,8.878805575
YAL036C,178,YAL036C_178,12.98622694
YAL038W,183,YAL038W_183,14.15260443
YAL039C,223,YAL039C_223,9.009418205
YAL041W,786,YAL041W_786,16.80952381
YAL042W,62,YAL042W_62,2.117181212
YAL043C,498,YAL043C_498,13.32651301
YAL044C,129,YAL044C_129,15.54555877
YAL044W-A,111,YAL044W-A_111,41.64814815
YAL048C,281,YAL048C_281,5.446227673
YAL049C,144,YAL049C_144,7.677781419
YAL051W,567,YAL051W_567,8.804152325
YAL053W,543,YAL053W_543,17.80277778
YAL058W,372,YAL058W_372,12.99649383
YAL059W,155,YAL059W_155,16.94237796
YAL060W,36,YAL060W_36,4.855645403
YAL061W,298,YAL061W_298,34.49206349
YAR002C-A,43,YAR002C-A_43,8.298847908
YAR002W,233,YAR002W_233,10.74464797
YAR003W,18,YAR003W_18,124.6666667
YAR007C,94,YAR007C_94,5.536715944
YAR008W,276,YAR008W_276,34.94444444
YAR014C,262,YAR014C_262,27.88540724
YAR015W,55,YAR015W_55,8.167348986
YAR018C,163,YAR018C_163,40.88888889
YAR019C,403,YAR019C_403,18.79120879
YAR027W,145,YAR027W_145,17.62025218
YAR042W,425,YAR042W_425,24.14285714
YAR071W,412,YAR071W_412,2.041018388
YBL001C,84,YBL001C_84,17.47733802
YBL002W,119,YBL002W_119,2.486361608
YBL004W,1024,YBL004W_1024,7.465819732
YBL005W,468,YBL005W_468,30.13333333
YBL006C,181,YBL006C_181,22.26680176
YBL007C,415,YBL007C_415,14.22417184
YBL008W,488,YBL008W_488,45
YBL009W,309,YBL009W_309,84.5
YBL010C,87,YBL010C_87,14.07222222
YBL011W,125,YBL011W_125,71.05064103
YBL013W,171,YBL013W_171,12.05479452
YBL015W,43,YBL015W_43,2.279946403
YBL016W,219,YBL016W_219,20.09897749
YBL017C,256,YBL017C_256,14.37284807
YBL018C,36,YBL018C_36,5.245791246
YBL019W,377,YBL019W_377,25.66666667
YBL021C,47,YBL021C_47,7.968409586
YBL022C,540,YBL022C_540,8.987489659
YBL023C,502,YBL023C_502,4.502868792
YBL024W,525,YBL024W_525,25.97756214
YBL025W,104,YBL025W_104,9.6
YBL026W,96,YBL026W_96,12.94251012
YBL028C,99,YBL028C_99,23.38416074
YBL029C-A,53,YBL029C-A_53,4.575033799
YBL030C,319,YBL030C_319,33.95977814
YBL031W,162,YBL031W_162,24.33333333
YBL032W,370,YBL032W_370,22.35158612
YBL033C,256,YBL033C_256,20.10092327
YBL034C,361,YBL034C_361,5.37965859
YBL035C,582,YBL035C_582,10.54933928
YBL036C,204,YBL036C_204,15.71980714
YBL037W,58,YBL037W_58,13.67413532
YBL038W,67,YBL038W_67,10.28541385
YBL039C,64,YBL039C_64,5.57131304
YBL040C,48,YBL040C_48,11.71642935
YBL041W,34,YBL041W_34,6.97903028
YBL042C,118,YBL042C_118,3.367502386
YBL045C,158,YBL045C_158,6.34649558
YBL046W,50,YBL046W_50,92.87400319
YBL047C,519,YBL047C_519,9.455216009
YBL050W,272,YBL050W_272,3.982636431
YBL051C,319,YBL051C_319,8.271509711
YBL052C,272,YBL052C_272,33.92857143
YBL054W,119,YBL054W_119,8.838543338
YBL055C,419,YBL055C_419,42.89677419
YBL056W,404,YBL056W_404,24.97188838
YBL058W,249,YBL058W_249,7.31970205
YBL059C-A,110,YBL059C-A_110,33.8
YBL059W,72,YBL059W_72,19.73160173
YBL060W,141,YBL060W_141,9.10071475
YBL061C,125,YBL061C_125,7.336663194
YBL064C,112,YBL064C_112,37.06332898
YBL066C,328,YBL066C_328,20.16666667
YBL067C,15,YBL067C_15,30.33479575
YBL068W,184,YBL068W_184,11.39128215
YBL069W,131,YBL069W_131,6.597103392
YBL072C,27,YBL072C_27,15.53901994
YBL076C,96,YBL076C_96,9.393719598
YBL078C,72,YBL078C_72,3.20251531
YBL079W,182,YBL079W_182,55.8919611
YBL081W,93,YBL081W_93,74.67449495
YBL082C,96,YBL082C_96,2.706949646
YBL084C,726,YBL084C_726,10.72200942
YBL085W,158,YBL085W_158,32
YBL086C,265,YBL086C_265,6.746341463
YBL087C,127,YBL087C_127,4.388505297
YBL090W,43,YBL090W_43,26.32369942
YBL091C,394,YBL091C_394,5.031090794
YBL091C-A,82,YBL091C-A_82,3.202568166
YBL093C,164,YBL093C_164,16.74582456
YBL095W,271,YBL095W_271,142.2222222
YBL097W,56,YBL097W_56,25
YBL099W,326,YBL099W_326,4.58222583
YBL102W,69,YBL102W_69,3.09381968
YBL103C,267,YBL103C_267,16.34065232
YBL104C,750,YBL104C_750,19.88666667
YBL105C,619,YBL105C_619,105.9795057
YBL107C,52,YBL107C_52,48.5
YBR001C,449,YBR001C_449,11.39334265
YBR002C,48,YBR002C_48,5.431342288
YBR007C,570,YBR007C_570,11.16236715
YBR009C,104,YBR009C_104,9.074476734
YBR010W,46,YBR010W_46,17.61562223
YBR011C,119,YBR011C_119,5.076023454
YBR014C,56,YBR014C_56,3.108086995
YBR015C,303,YBR015C_303,23.15559604
YBR016W,88,YBR016W_88,4.2227269
YBR017C,286,YBR017C_286,10.63809453
YBR021W,116,YBR021W_116,4.62406015
YBR022W,33,YBR022W_33,8.131179145
YBR023C,52,YBR023C_52,11.2232472
YBR024W,93,YBR024W_93,21.71428571
YBR025C,241,YBR025C_241,41.64582684
YBR028C,97,YBR028C_97,61.83333333
YBR029C,233,YBR029C_233,9.181954645
YBR031W,363,YBR031W_363,5.517656589
YBR034C,141,YBR034C_141,6.427869113
YBR035C,190,YBR035C_190,8.181785967
YBR036C,233,YBR036C_233,5.809665272
YBR037C,285,YBR037C_285,6.444933921
YBR038W,626,YBR038W_626,18.7585571
YBR039W,312,YBR039W_312,73.85369378
YBR041W,375,YBR041W_375,31.66137566
YBR042C,126,YBR042C_126,4.360598971
YBR046C,275,YBR046C_275,10.74942529
YBR047W,29,YBR047W_29,20
YBR048W,157,YBR048W_157,8.102841188
YBR049C,467,YBR049C_467,9.149954379
YBR052C,178,YBR052C_178,10.04728219
YBR053C,353,YBR053C_353,4.404582474
YBR054W,129,YBR054W_129,44.72727273
YBR055C,781,YBR055C_781,14.53823954
YBR056W,115,YBR056W_115,4.169677471
YBR056W-A,31,YBR056W-A_31,4.666666667
YBR058C,310,YBR058C_310,11.44968009
YBR058C-A,15,YBR058C-A_15,5.305871846
YBR059C,957,YBR059C_957,9.188381734
YBR060C,222,YBR060C_222,18.83677054
YBR061C,159,YBR061C_159,3.453842664
YBR062C,144,YBR062C_144,8.91983188
YBR065C,203,YBR065C_203,61
YBR067C,95,YBR067C_95,13.48722426
YBR068C,123,YBR068C_123,19.44844271
YBR069C,110,YBR069C_110,5.924316259
YBR071W,46,YBR071W_46,4.838636973
YBR072W,74,YBR072W_74,4.693662964
YBR073W,959,YBR073W_959,93.13294233
YBR074W,50,YBR074W_50,3.996691322
YBR077C,55,YBR077C_55,2.93346991
YBR078W,179,YBR078W_179,4.152075808
YBR079C,881,YBR079C_881,4.527497898
YBR080C,242,YBR080C_242,30.3993647
YBR081C,1298,YBR081C_1298,8.507548888
YBR082C,120,YBR082C_120,4.011025509
YBR083W,427,YBR083W_427,90.00085701
YBR084W,229,YBR084W_229,56.45025908
YBR085C-A,86,YBR085C-A_86,14.98412698
YBR086C,180,YBR086C_180,9.309748238
YBR087W,241,YBR087W_241,12.5457866
YBR088C,175,YBR088C_175,18.79803563
YBR090C,97,YBR090C_97,3.684635036
YBR091C,94,YBR091C_94,10.91176471
YBR092C,413,YBR092C_413,11.06419099
YBR093C,413,YBR093C_413,28.89387743
YBR094W,132,YBR094W_132,4.667111872
YBR095C,114,YBR095C_114,7.872566671
YBR096W,41,YBR096W_41,4.136261735
YBR101C,37,YBR101C_37,13.98247898
YBR102C,498,YBR102C_498,18.86120243
YBR103W,94,YBR103W_94,4.808124496
YBR104W,274,YBR104W_274,13.67250603
YBR105C,294,YBR105C_294,12.52683514
YBR106W,52,YBR106W_52,3.693263932
YBR109C,131,YBR109C_131,8.997307385
YBR110W,102,YBR110W_102,7.114576115
YBR111C,199,YBR111C_199,7.00594288
YBR111W-A,27,YBR111W-A_27,17.03002879
YBR112C,195,YBR112C_195,25.95875849
YBR114W,346,YBR114W_346,7.653044204
YBR115C,1336,YBR115C_1336,11.97835223
YBR118W,259,YBR118W_259,50.43238662
YBR119W,173,YBR119W_173,65.13703704
YBR120C,137,YBR120C_137,9.6
YBR121C,49,YBR121C_49,19.04490596
YBR122C,38,YBR122C_38,4.529011481
YBR123C,420,YBR123C_420,10.40445881
YBR125C,168,YBR125C_168,18.328125
YBR126C,175,YBR126C_175,3.550525579
YBR126W-A,69,YBR126W-A_69,25.23930323
YBR127C,347,YBR127C_347,3.951635274
YBR129C,228,YBR129C_228,16.12832684
YBR130C,48,YBR130C_48,37.46573542
YBR131W,362,YBR131W_362,20.66666667
YBR132C,39,YBR132C_39,9.891608392
YBR133C,373,YBR133C_373,48.47993597
YBR135W,100,YBR135W_100,2.365895974
YBR136W,550,YBR136W_550,35.66666667
YBR137W,99,YBR137W_99,20.30246914
YBR138C,201,YBR138C_201,45.57142857
YBR139W,209,YBR139W_209,4.958737627
YBR140C,525,YBR140C_525,8.695769576
YBR141C,322,YBR141C_322,10.10950283
YBR142W,300,YBR142W_300,3.288802045
YBR143C,114,YBR143C_114,15.48468914
YBR146W,267,YBR146W_267,6.612852727
YBR149W,182,YBR149W_182,24.55467919
YBR151W,307,YBR151W_307,34.26601949
YBR154C,129,YBR154C_129,4.067450716
YBR155W,301,YBR155W_301,2.167341531
YBR157C,134,YBR157C_134,11.98877033
YBR159W,348,YBR159W_348,17.83111111
YBR160W,239,YBR160W_239,15.42962216
YBR161W,318,YBR161W_318,12.46666667
YBR162C,397,YBR162C_397,8.112174211
YBR162W-A,48,YBR162W-A_48,14.6628512
YBR163W,467,YBR163W_467,48.8
YBR164C,41,YBR164C_41,5.746287551
YBR165W,123,YBR165W_123,14.37530864
YBR166C,367,YBR166C_367,23.14392068
YBR167C,44,YBR167C_44,23.76811594
YBR169C,482,YBR169C_482,4.52743922
YBR170C,288,YBR170C_288,13.90341043
YBR171W,43,YBR171W_43,6.940119704
YBR172C,330,YBR172C_330,34.89128186
YBR175W,171,YBR175W_171,6.868686869
YBR176W,313,YBR176W_313,257.6851852
YBR177C,72,YBR177C_72,51.19926252
YBR179C,665,YBR179C_665,31.56817595
YBR181C,237,YBR181C_237,3.046304184
YBR183W,288,YBR183W_288,15.19953052
YBR185C,22,YBR185C_22,4.102430556
YBR187W,112,YBR187W_112,25.72940287
YBR188C,141,YBR188C_141,43.84722222
YBR189W,118,YBR189W_118,3.376595035
YBR191W,54,YBR191W_54,3.227947198
YBR192W,215,YBR192W_215,6.874343894
YBR193C,188,YBR193C_188,3.075626839
YBR195C,47,YBR195C_47,7.229868578
YBR196C,172,YBR196C_172,17.39508806
YBR197C,195,YBR197C_195,5.175097276
YBR198C,115,YBR198C_115,2.415816274
YBR199W,428,YBR199W_428,8.109387526
YBR200W,249,YBR200W_249,11.03611592
YBR202W,463,YBR202W_463,7.639144298
YBR205W,317,YBR205W_317,3.208561409
YBR207W,461,YBR207W_461,39.66666667
YBR208C,581,YBR208C_581,15.27417827
YBR210W,60,YBR210W_60,24.66666667
YBR211C,211,YBR211C_211,4.958390281
YBR212W,544,YBR212W_544,16.49002034
