Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
A0A9R9,wht-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46E-14,9.7,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A9S2;Q86FM9,,0.173237984,NA,0.754601697,NA,NA,NA,NA,NA,NA,5.934634778,NA,5.897220093,5.187887178,4.201338372,NA,NA,NA,NA,2.05E-304,28.5,1187,5.894970026,NA,5.774753843,5.409649628,4.433325673,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0FLQ5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32E-11,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0PCJ1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70E-11,14.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0PD34,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24E-12,9.1,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0T4F9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22E-17,16.7,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2V8C3,ttr-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86E-32,18.7,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2V8C8,,NA,NA,NA,NA,NA,-0.472071799,-0.388685507,NA,NA,7.088809166,5.168474685,7.197721522,6.410051398,NA,6.649656079,6.975491549,NA,7.069557105,1.11E-35,31.7,145,7.049144414,5.483901286,7.075255272,6.631813847,NA,6.759015255,7.002812973,NA,6.990008313,NA,NA,NA,NA,NA
A3FPI6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31E-17,15.6,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3FPI7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67E-07,8.8,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3FPJ3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21E-30,42.5,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3FPK6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25E-16,21,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3FPK9,ttr-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-86,27.3,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM90,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45E-11,8.6,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.186815124,5.28466484,6.146469133,5.39017531,4.752872263,NA,1.00E-35,19.5,277,NA,NA,NA,6.408577574,5.516652141,6.255828309,5.417496735,5.062249514,NA,NA,NA,NA,NA,NA
A3QM97,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99E-93,21.5,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM98,col-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74E-84,31,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67E-16,3.9,1259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB6,oac-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85E-10,6.5,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB9;E1TU65,hpo-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98E-11,14.7,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
