Uniprot ID,Gene Name,Log2 Ratio L/H AgWTD01.1,Log2 Ratio L/H AgWTD01.2,Log2 Ratio L/H AgWTD01.3,Log2 Ratio L/H AgWTD01.4,Log2 Ratio L/H AgWTD12.1,Log2 Ratio L/H AgWTD12.2,Log2 Ratio L/H AgWTD12.3,Log2 Ratio L/H AgWTD12.4,log abs.LFQ AgWTD01.1,log abs.LFQ AgWTD01.2,log abs.LFQ AgWTD01.3,log abs.LFQ AgWTD01.4,log abs.LFQ AgWTD12.1,log abs.LFQ AgWTD12.2,log abs.LFQ AgWTD12.3,log abs.LFQ AgWTD12.4,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgWTD01.1 Corrected,log abs.LFQ AgWTD01.2 Corrected,log abs.LFQ AgWTD01.3 Corrected,log abs.LFQ AgWTD01.4 Corrected,log abs.LFQ AgWTD12.1 Corrected,log abs.LFQ AgWTD12.2 Corrected,log abs.LFQ AgWTD12.3 Corrected,log abs.LFQ AgWTD12.4 Corrected
A0A9R9,wht-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46E-14,9.7,547,NA,NA,NA,NA,NA,NA,NA,NA
A0A9S2;Q86FM9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05E-304,28.5,1187,NA,NA,NA,NA,NA,NA,NA,NA
A0FLQ5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32E-11,16,100,NA,NA,NA,NA,NA,NA,NA,NA
A0PCJ1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70E-11,14.5,110,NA,NA,NA,NA,NA,NA,NA,NA
A0PD34,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24E-12,9.1,308,NA,NA,NA,NA,NA,NA,NA,NA
A0T4F9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22E-17,16.7,114,NA,NA,NA,NA,NA,NA,NA,NA
A2V8C3,ttr-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.274065436,NA,5.358448839,3.86E-32,18.7,139,NA,NA,NA,NA,NA,5.773241417,NA,5.62351777
A2V8C8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11E-35,31.7,145,NA,NA,NA,NA,NA,NA,NA,NA
A3FPI6,,-0.888149004,NA,NA,NA,NA,NA,NA,NA,5.817069316,4.895858831,NA,NA,5.05415324,5.483330495,NA,NA,7.31E-17,15.6,211,5.422131058,4.595846376,NA,NA,4.666314397,4.982506476,NA,NA
A3FPI7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67E-07,8.8,160,NA,NA,NA,NA,NA,NA,NA,NA
A3FPJ3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21E-30,42.5,106,NA,NA,NA,NA,NA,NA,NA,NA
A3FPK6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25E-16,21,224,NA,NA,NA,NA,NA,NA,NA,NA
A3FPK9,ttr-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-86,27.3,132,NA,NA,NA,NA,NA,NA,NA,NA
A3QM90,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45E-11,8.6,373,NA,NA,NA,NA,NA,NA,NA,NA
A3QM91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-35,19.5,277,NA,NA,NA,NA,NA,NA,NA,NA
A3QM97,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.619155965,NA,NA,NA,4.512070401,NA,NA,1.99E-93,21.5,811,NA,4.31914351,NA,NA,NA,4.011246382,NA,NA
A3QM98,col-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74E-84,31,281,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67E-16,3.9,1259,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB6,oac-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85E-10,6.5,710,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB9;E1TU65,hpo-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98E-11,14.7,313,NA,NA,NA,NA,NA,NA,NA,NA
A3QMC2;G5EFT4;A3QMC1,AP-1,-1.389511746,-1.344885295,-1.778965477,-1.310049225,0.542353181,0.143054137,0.344263504,NA,4.993471502,5.04602667,4.245216457,4.43031698,6.169880073,5.861994149,4.65047266,4.646619349,7.47E-195,36.7,608,4.598533244,4.746014215,4.563182241,5.132491104,5.782041229,5.36117013,4.909400182,4.911688281
A3QMC3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16E-06,16.8,119,NA,NA,NA,NA,NA,NA,NA,NA
A3QMC5,rpl-34,1.011064511,0.850402441,0.946582775,NA,NA,0.359434597,0.484711428,0.536210163,7.183668357,6.927965442,5.965239341,NA,NA,6.987894076,6.205339721,6.31793804,2.10E-67,79.1,110,6.788730099,6.627952987,6.283205125,NA,NA,6.487070056,6.464267244,6.583006971
A3QMC6,erl-1,-0.568129417,-1.130140135,NA,NA,1.108674144,0.461044732,NA,0.476839545,5.734535813,4.905310062,3.953261828,NA,6.148602655,5.789897857,4.649480897,4.813801082,1.16E-106,45.8,312,5.339597555,4.605297607,4.271227611,NA,5.760763811,5.289073838,4.90840842,5.078870014
A3QMC8,tag-335,-1.787641414,-1.658417159,-1.522658421,NA,0.643180085,0.378831937,0.718687509,0.652311669,5.278593568,5.597212368,4.489944424,3.854245297,6.198602109,6.033303101,5.24647396,5.376613451,5.69E-110,40.3,365,4.88365531,5.297199913,4.807910208,4.556419422,5.810763266,5.532479082,5.505401482,5.641682383
A3QMD7,lsy-13,NA,NA,NA,NA,NA,0.854570351,NA,NA,4.483815438,NA,NA,NA,5.042102768,5.267429881,4.212507213,NA,9.63E-14,25.1,247,4.08887718,NA,NA,NA,4.654263924,4.766605861,4.471434735,NA
A4F314,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09E-05,9.9,162,NA,NA,NA,NA,NA,NA,NA,NA
A4F325,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74E-36,9.8,388,NA,NA,NA,NA,NA,NA,NA,NA
A4F329,fbxa-32,NA,NA,NA,NA,NA,NA,NA,NA,4.02378728,NA,NA,NA,4.890923771,5.540742296,NA,NA,6.16E-08,14.1,305,3.628849022,NA,NA,NA,4.503084928,5.039918277,NA,NA
A4F333,fbxa-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38E-18,12.6,302,NA,NA,NA,NA,NA,NA,NA,NA
A4LBC1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07E-32,13.2,167,NA,NA,NA,NA,NA,NA,NA,NA
A4UVK2,,0.101427875,-0.147957881,-0.096126889,NA,0.425016912,0.142894837,0.216534964,0.290532899,6.851502953,6.738780558,6.152685756,5.388456453,6.368863082,6.969909572,6.386819886,6.422359994,2.67E-92,45.3,234,6.456564695,6.438768103,6.47065154,6.090630577,5.981024238,6.469085552,6.645747408,6.687428925
A4UVK7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52E-12,5.5,457,NA,NA,NA,NA,NA,NA,NA,NA
A4UVL1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-49,16.8,226,NA,NA,NA,NA,NA,NA,NA,NA
A4UZ35,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99E-27,24.3,115,NA,NA,NA,NA,NA,NA,NA,NA
A5A8P5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.162026432,NA,NA,4.29E-74,36.6,112,NA,NA,NA,NA,NA,5.661202413,NA,NA
